itemId,userId,rating
34599,10,2
30276,8,17
4181,5,21
4181,10,26
4181,10,82
5680,8,105
5680,8,120
5680,10,121
5680,9,122
5680,9,125
5680,7,127
5680,8,132
5680,7,137
5680,7,145
5680,7,160
5680,10,171
5680,8,172
5680,5,180
5680,9,187
5680,5,195
5680,8,217
5680,8,220
5680,6,221
5680,8,231
5680,9,241
5680,10,246
5680,9,247
5680,5,252
5680,8,281
5680,9,17
5680,9,286
5680,10,296
5680,10,355
5680,4,356
5680,5,366
5680,10,480
5680,2,481
5680,9,482
5680,9,377
5680,7,485
5680,3,490
5680,5,11
5680,6,517
5680,3,520
5680,9,522
5680,8,525
269,4,721
269,5,727
269,3,772
269,9,775
269,10,777
269,5,780
269,1,826
269,3,830
269,5,835
269,5,246
269,10,872
269,3,382
269,5,882
32998,7,77
32998,8,927
32998,8,930
32998,7,935
32998,7,936
32998,5,937
32998,8,457
269,5,937
269,8,957
269,8,421
30123,7,960
30123,10,961
30123,7,281
30123,6,930
30123,4,965
30123,8,966
30123,5,967
30123,9,111
30123,10,971
30123,8,977
30123,8,982
30123,8,762
30123,5,160
30123,9,991
30123,9,992
30123,9,996
30123,6,1001
30123,6,1002
30123,5,1012
30123,6,1022
30123,6,1032
30123,8,286
30123,10,1037
30123,10,1040
30123,4,1050
30123,8,457
4181,10,1085
30276,8,1105
30276,8,1022
30276,8,1012
